Timestamp,Frame,Class,Confidence
2025-10-15 12:56:30,0,oil_spill,0.336
2025-10-15 12:56:30,1,oil_spill,0.291
2025-10-15 12:56:30,2,oil_spill,0.298
2025-10-15 12:56:30,3,oil_spill,0.311
2025-10-15 12:56:30,4,oil_spill,0.25
2025-10-15 12:56:30,5,oil_spill,0.335
2025-10-15 12:56:31,6,oil_spill,0.328
2025-10-15 12:56:31,7,oil_spill,0.331
2025-10-15 12:56:31,8,oil_spill,0.349
2025-10-15 12:56:31,9,oil_spill,0.319
2025-10-15 12:56:31,10,oil_spill,0.309
2025-10-15 12:56:31,11,oil_spill,0.306
2025-10-15 12:56:32,12,oil_spill,0.321
2025-10-15 12:56:32,13,oil_spill,0.32
2025-10-15 12:56:32,14,oil_spill,0.348
2025-10-15 12:56:32,15,oil_spill,0.331
2025-10-15 12:56:32,16,oil_spill,0.355
2025-10-15 12:56:32,17,oil_spill,0.36
2025-10-15 12:56:32,18,oil_spill,0.379
2025-10-15 12:56:33,19,oil_spill,0.348
2025-10-15 12:56:33,20,oil_spill,0.349
2025-10-15 12:56:33,21,oil_spill,0.299
2025-10-15 12:56:33,22,oil_spill,0.258
2025-10-15 12:56:33,23,oil_spill,0.292
2025-10-15 12:56:33,24,oil_spill,0.286
2025-10-15 12:56:33,25,oil_spill,0.297
2025-10-15 12:56:34,26,oil_spill,0.327
2025-10-15 12:56:34,27,oil_spill,0.327
2025-10-15 12:56:34,28,oil_spill,0.284
2025-10-15 12:56:34,29,oil_spill,0.319
2025-10-15 12:56:34,30,oil_spill,0.297
2025-10-15 12:56:34,31,oil_spill,0.305
2025-10-15 12:56:34,32,oil_spill,0.277
2025-10-15 12:56:34,33,oil_spill,0.336
2025-10-15 12:56:35,34,oil_spill,0.379
2025-10-15 12:56:35,35,oil_spill,0.389
2025-10-15 12:56:35,36,oil_spill,0.39
2025-10-15 12:56:35,37,oil_spill,0.486
2025-10-15 12:56:35,38,oil_spill,0.456
2025-10-15 12:56:35,39,oil_spill,0.434
2025-10-15 12:56:35,40,oil_spill,0.436
2025-10-15 12:56:36,41,oil_spill,0.464
2025-10-15 12:56:36,42,oil_spill,0.51
2025-10-15 12:56:36,43,oil_spill,0.512
2025-10-15 12:56:36,44,oil_spill,0.539
2025-10-15 12:56:36,45,oil_spill,0.473
2025-10-15 12:56:36,46,oil_spill,0.443
2025-10-15 12:56:36,47,oil_spill,0.446
2025-10-15 12:56:36,48,oil_spill,0.458
2025-10-15 12:56:37,49,oil_spill,0.45
2025-10-15 12:56:37,50,oil_spill,0.476
2025-10-15 12:56:37,51,oil_spill,0.477
2025-10-15 12:56:37,52,oil_spill,0.46
2025-10-15 12:56:37,53,oil_spill,0.41
2025-10-15 12:56:37,54,oil_spill,0.403
2025-10-15 12:56:37,55,oil_spill,0.415
2025-10-15 12:56:37,56,oil_spill,0.441
2025-10-15 12:56:38,57,oil_spill,0.417
2025-10-15 12:56:38,58,oil_spill,0.432
2025-10-15 12:56:38,59,oil_spill,0.462
2025-10-15 12:56:38,60,oil_spill,0.414
2025-10-15 12:56:38,61,oil_spill,0.391
2025-10-15 12:56:38,62,oil_spill,0.401
2025-10-15 12:56:38,63,oil_spill,0.386
2025-10-15 12:56:39,64,oil_spill,0.399
2025-10-15 12:56:39,65,oil_spill,0.354
2025-10-15 12:56:39,66,oil_spill,0.362
2025-10-15 12:56:39,67,oil_spill,0.361
2025-10-15 12:56:39,68,oil_spill,0.356
2025-10-15 12:56:39,69,oil_spill,0.365
2025-10-15 12:56:39,70,oil_spill,0.375
2025-10-15 12:56:39,71,oil_spill,0.373
2025-10-15 12:56:40,72,oil_spill,0.386
2025-10-15 12:56:40,73,oil_spill,0.399
2025-10-15 12:56:40,74,oil_spill,0.388
2025-10-15 12:56:40,75,oil_spill,0.357
2025-10-15 12:56:40,76,oil_spill,0.351
2025-10-15 12:56:40,77,oil_spill,0.339
2025-10-15 12:56:40,78,oil_spill,0.352
2025-10-15 12:56:40,79,oil_spill,0.349
2025-10-15 12:56:40,79,oil_spill,0.207
